epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.40108561515808105,0.8344123363494873,0.49925899505615234,0.7931268811225891
1,0.36267244815826416,0.8454285860061646,0.415018230676651,0.8284433484077454
2,0.3549613952636719,0.8475202322006226,0.545213520526886,0.7949379682540894
3,0.3493681252002716,0.849833607673645,0.48730525374412537,0.8164108395576477
4,0.34681326150894165,0.8498774170875549,0.3651242256164551,0.8460110425949097
5,0.34480464458465576,0.8514479398727417,0.4032210111618042,0.8350765109062195
6,0.34233301877975464,0.8523419499397278,0.4057813584804535,0.8240174651145935
7,0.34150615334510803,0.8522204756736755,0.36803415417671204,0.8418002128601074
8,0.3394882380962372,0.8531540036201477,0.40023574233055115,0.8320881724357605
9,0.33868277072906494,0.8536949753761292,0.38170763850212097,0.8390043377876282
10,0.33845189213752747,0.8535000681877136,0.9291002750396729,0.762632429599762
11,0.33668357133865356,0.85430508852005,0.3722764849662781,0.8408493995666504
12,0.33604687452316284,0.8544759750366211,0.3731693923473358,0.8417096734046936
13,0.3350357711315155,0.8550324440002441,0.36436471343040466,0.8454111218452454
14,0.33347517251968384,0.8557414412498474,0.3974868953227997,0.8292244076728821
15,0.3343343734741211,0.8553657531738281,0.3831222653388977,0.8401249647140503
16,0.3326709270477295,0.855769693851471,0.4630105793476105,0.8319976329803467
17,0.33202165365219116,0.8561665415763855,0.39819827675819397,0.8268133401870728
18,0.3307979702949524,0.8563233017921448,0.46877872943878174,0.8078194260597229
19,0.33015310764312744,0.8570930361747742,0.3846435248851776,0.8383704423904419
