epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,13.280308723449707,0.7891696691513062,14.340218544006348,0.7700466513633728
1,12.22965145111084,0.7930182814598083,13.302641868591309,0.7555012106895447
2,11.488396644592285,0.7943599820137024,12.728544235229492,0.7654962539672852
3,10.721683502197266,0.7953839302062988,11.54316234588623,0.7840826511383057
4,10.073965072631836,0.7955689430236816,10.667738914489746,0.7730915546417236
5,9.566559791564941,0.7958203554153442,10.69240951538086,0.7801661491394043
6,9.120795249938965,0.7969078421592712,10.085517883300781,0.7825092673301697
7,8.681068420410156,0.7977185249328613,9.57052230834961,0.7737820148468018
8,8.34102725982666,0.7976549863815308,9.957237243652344,0.7652019262313843
9,7.9620842933654785,0.7975744605064392,9.158617973327637,0.7884406447410583
