,a,b,c
349,13,14,4
350,14,14,71
351,15,14,14
352,16,14,26
353,17,14,0
354,18,14,0
355,19,14,0
356,20,14,0
357,21,14,0
358,22,14,0
359,23,14,0
360,0,15,0
361,1,15,0
362,2,15,0
363,3,15,0
364,4,15,0
365,5,15,0
366,6,15,0
367,7,15,0
368,8,15,0
369,9,15,2
370,10,15,128
371,11,15,80
372,12,15,4
373,13,15,184
374,14,15,93
375,15,15,278
376,16,15,95
377,17,15,0
378,18,15,0
379,19,15,0
380,20,15,0
381,21,15,0
382,22,15,0
383,23,15,0
384,0,16,0
385,1,16,0
386,2,16,0
387,3,16,0
388,4,16,0
389,5,16,0
390,6,16,0
391,7,16,0
392,8,16,0
393,9,16,0
394,10,16,5
395,11,16,33
396,12,16,0
397,13,16,6
398,14,16,217
399,15,16,65
400,16,16,261
401,17,16,0
402,18,16,0
403,19,16,0
404,20,16,0
405,21,16,0
406,22,16,0
407,23,16,0
408,0,17,0
409,1,17,0
410,2,17,0
411,3,17,0
412,4,17,0
413,5,17,0
414,6,17,0
415,7,17,0
416,8,17,0
417,9,17,0
418,10,17,0
419,11,17,0
420,12,17,0
421,13,17,0
422,14,17,0
423,15,17,0
424,16,17,0
425,17,17,342
426,18,17,114
427,19,17,0
428,20,17,0
429,21,17,0
430,22,17,0
431,23,17,0
432,0,18,0
433,1,18,0
434,2,18,0
435,3,18,0
436,4,18,0
437,5,18,0
438,6,18,0
439,7,18,0
440,8,18,0
441,9,18,0
442,10,18,0
443,11,18,0
444,12,18,0
445,13,18,0
446,14,18,0
447,15,18,0
448,16,18,0
449,17,18,67
450,18,18,295
451,19,18,0
452,20,18,0
453,21,18,0
454,22,18,0
455,23,18,0
456,0,19,0
457,1,19,0
458,2,19,0
459,3,19,0
460,4,19,0
461,5,19,0
462,6,19,0
463,7,19,0
464,8,19,0
465,9,19,0
466,10,19,0
467,11,19,0
468,12,19,0
469,13,19,0
470,14,19,0
471,15,19,0
472,16,19,0
473,17,19,0
474,18,19,0
475,19,19,351
476,20,19,119
477,21,19,0
478,22,19,0
479,23,19,0
480,0,20,0
481,1,20,0
482,2,20,0
483,3,20,0
484,4,20,0
485,5,20,0
486,6,20,0
487,7,20,0
488,8,20,0
489,9,20,0
490,10,20,0
491,11,20,0
492,12,20,0
493,13,20,0
494,14,20,0
495,15,20,0
496,16,20,0
497,17,20,0
498,18,20,0
499,19,20,58
500,20,20,290
501,21,20,0
502,22,20,0
503,23,20,0
504,0,21,0
505,1,21,0
506,2,21,0
507,3,21,0
508,4,21,0
509,5,21,0
510,6,21,0
511,7,21,0
512,8,21,0
513,9,21,0
514,10,21,0
515,11,21,0
516,12,21,0
517,13,21,0
518,14,21,0
519,15,21,0
520,16,21,0
521,17,21,0
522,18,21,0
523,19,21,0
524,20,21,0
525,21,21,409
526,22,21,0
527,23,21,0
528,0,22,0
529,1,22,0
