epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.8312445282936096,0.6679688096046448,0.8125561475753784,0.6680815815925598
1,0.6233550310134888,0.7347820997238159,0.7511652708053589,0.6891130208969116
2,0.5819696187973022,0.7494421005249023,0.640324592590332,0.7305532693862915
3,0.5610854029655457,0.7575503587722778,0.6514750123023987,0.7256180644035339
4,0.5480685830116272,0.7642433643341064,0.6222349405288696,0.7372770309448242
5,0.537107527256012,0.7705339193344116,0.6275742053985596,0.7349339127540588
6,0.5291968584060669,0.7750717401504517,0.5830433964729309,0.760074257850647
7,0.5186214447021484,0.7810317873954773,0.6333827972412109,0.7447478175163269
8,0.5111475586891174,0.7848281264305115,0.6002413630485535,0.7520148754119873
9,0.5048888921737671,0.7880299091339111,0.7295976281166077,0.7159625887870789
10,0.49841952323913574,0.790560781955719,0.5645596981048584,0.7731820940971375
11,0.49453526735305786,0.791971743106842,0.5498687624931335,0.777992844581604
12,0.49097880721092224,0.7934914231300354,0.5854248404502869,0.7569500803947449
13,0.4868743121623993,0.7960166335105896,0.5541929602622986,0.7773249745368958
14,0.4843657314777374,0.7961211800575256,0.5442336201667786,0.7735103964805603
15,0.4816444516181946,0.7971705198287964,0.5506340265274048,0.7777891159057617
16,0.4777958393096924,0.7992734909057617,0.547823965549469,0.7752648591995239
17,0.47772684693336487,0.7991195321083069,0.5623161792755127,0.7702277302742004
18,0.4742674231529236,0.800732433795929,0.5446188449859619,0.771427571773529
19,0.4727987051010132,0.8008044362068176,0.5769322514533997,0.7544598579406738
