epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.5507246851921082,0.7700890302658081,0.6826847791671753,0.7232749462127686
1,0.4201999306678772,0.8200221061706543,0.5270844101905823,0.779170036315918
2,0.3850522041320801,0.8345465064048767,0.4893368184566498,0.7957982420921326
3,0.3674239218235016,0.8418567776679993,0.5012536644935608,0.7986733913421631
4,0.3549589216709137,0.8463310599327087,0.448646605014801,0.8119736313819885
5,0.34828245639801025,0.8492291569709778,0.476009726524353,0.8106039762496948
6,0.34142449498176575,0.8527656197547913,0.48296666145324707,0.8011975884437561
7,0.3366568386554718,0.8538545370101929,0.4054558575153351,0.8313524127006531
8,0.3344588577747345,0.8549702763557434,0.44079259037971497,0.8167051672935486
9,0.33046987652778625,0.8563501238822937,0.41904157400131226,0.8262247443199158
10,0.3271207809448242,0.8578415513038635,0.41610315442085266,0.8254889845848083
11,0.32490313053131104,0.8586480021476746,0.40803471207618713,0.8282848596572876
12,0.32299232482910156,0.8594403266906738,0.4244973659515381,0.8241533041000366
13,0.3221313953399658,0.8602170944213867,0.41927003860473633,0.8253531455993652
14,0.3201107978820801,0.861263632774353,0.39430612325668335,0.8348727822303772
15,0.3188072144985199,0.8614528775215149,0.40996313095092773,0.8279905915260315
16,0.31759214401245117,0.8619641661643982,0.44890183210372925,0.8221950531005859
17,0.3167039453983307,0.8620262742042542,0.475483238697052,0.8075817227363586
18,0.315120667219162,0.8629189133644104,0.42711278796195984,0.8204405307769775
19,0.3147609829902649,0.8632465600967407,0.41314616799354553,0.829643189907074
